carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes,matched_source_airline_id,enrichment_sources,skip_reason
challenge-airlines-il,Challenge Airlines IL,5C,Israel,Scheduled,no,,,Middle East,https://cal-cargo.com,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,nature-air-1829,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
charter-air-transport-inc,"Charter Air Transport, Inc.",VC,United States,Low-cost,no,en,,North America,https://airways.voyav.com,,,,,,,,,no,,0,0,no,no,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,voyageur-airways-1109,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
chautauqua-airlines,Chautauqua Airlines,RP,United States,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,yes,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
chengdu-airlines,Chengdu Airlines,EU,China,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
china-cargo-airlines,China Cargo Airlines,CK,China,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
china-postal-airlines-ltd,China Postal Airlines Ltd.,CF,China,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
china-united-airlines,China United Airlines,KN,China,Low-cost,no,,,Asia,,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
chongqing-airlines,Chongqing Airlines,OQ,China,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
chu-kong-passenger-transport-co-ltd,Chu Kong Passenger Transport Co. Ltd.,3A,China,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
cimber,Cimber,QA,Denmark,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
cinnamon-air,Cinnamon Air,C7,Sri Lanka,Scheduled,no,,,Asia,https://c7.aero,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,cinnamon-air-1321,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
citilink,Citilink,QG,Indonesia,Low-cost,no,,,Asia,https://citilink.co.id,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",citilink-99,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
coastal-aviation,Coastal Aviation,CQ,United States,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
cobalt-air,Cobalt Air,CO,Cyprus,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
colorful-guizhou-airlines,Colorful Guizhou Airlines,GY,China,Low-cost,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
commutair,CommutAir,C5,United States,Scheduled,no,en,,North America,https://commuteair.com,https://www.commuteair.com/contact-us,,,,,,,,no,,0,0,no,no,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,commuteair-1346,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
compass-airlines,Compass Airlines,CP,United States,Scheduled,no,en,,North America,https://mscaircargo.com,https://www.mscaircargo.com/en/contact,,,,,,,,no,,0,0,no,no,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,msc-air-108,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
conquest-air-inc,"Conquest Air, Inc.",C4,Mexico,Scheduled,no,,,Latin America,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
corendon-airlines,Corendon Airlines,XC,Turkey,Scheduled,no,,,Europe,https://corendon-airlines.com,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",corendon-airlines-1542,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
corendon-dutch-airlines,Corendon Dutch Airlines,CD,Netherlands,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
cronos-airlines,Cronos Airlines,C8,Equatorial Guinea,Scheduled,no,,,Africa,https://cronosair.com,,,,,,,,,no,,0,0,no,yes,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,cargolux-italia-1436,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
crown-airlines,Crown Airlines,FQ,United States,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
dhl-aero-expreso-sa,DHL Aero Expreso S.A.,D5,Panama,Scheduled,no,,,Latin America,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
dhl-aviation-eemea-bscc,DHL Aviation EEMEA B.S.C.(c),ES,Bahrain,Scheduled,no,en,,Middle East,https://estafeta.com,https://wwwqa.estafeta.com/en/contacto,,,,,,,,no,,0,0,no,no,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,estafeta-carga-a-rea-1205,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
dhl-de-guatemala,DHL de Guatemala,L3,Guatemala,Scheduled,no,,,Latin America,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
dot-lt,DOT LT,R6,Lithuania,Scheduled,no,,,Europe,https://dot.lt,,,,,,,,,no,,0,0,no,yes,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,dot-lt-680,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
daallo-airlines,Daallo Airlines,D3,Djibouti,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;region;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
dan-air,Dan Air,DN,India,Low-cost,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
dana-air,Dana Air,9J,Nigeria,Scheduled,no,en,,Africa,,,,,,,,,,no,,0,0,no,yes,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
denver-air-connection-dac,Denver Air Connection (DAC),KG,United States,Scheduled,no,en,,North America,https://aerogaviota.com,https://www.keylimeair.com/contact-us,,,,,,,,no,,0,0,no,no,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,key-lime-air-1499,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
department-of-national-defence,Department of National Defence,YF,Canada,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
dniproavia,Dniproavia,Z6,Ukraine,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
dokasch,DoKaSch,3D,North Macedonia,Scheduled,no,,,Europe,https://apiairlines.com,https://apiairlines.com/th/contact-us,,,,,,,,no,,0,0,no,no,no,,locale;band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,air-people-international-1192,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
donavia,Donavia,D9,Russia,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
donghai-airlines,Donghai Airlines,DZ,China,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
e-savtravel,E-Savtravel,L1,Brazil,Scheduled,no,,,Latin America,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
eaglexpress-air-charter-sdnbhddbaeaglexpress-air,Eaglexpress Air Charter Sdn.Bhd.dbaEaglexpress Air,9A,Malaysia,Scheduled,no,,,Asia,https://eaglexpressair.com,https://eaglexpressair.com/contact,,,,,,,,no,,0,0,no,no,no,,locale;band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,eaglexpress-1793,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
eastern-air-lines,Eastern Air Lines,EA,United States,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
eastern-airways,Eastern Airways,T3,United Kingdom,Low-cost,no,en,,Europe,https://easternairways.com,,,,,,,,,no,,0,0,no,yes,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",eastern-airways-291,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
ecojet,EcoJet,8J,Bolivia,Scheduled,no,,,Latin America,https://ecojet.com.bo,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,ecojet-477,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
electronic-data-systems-corporation,Electronic Data Systems Corporation,1Y,United States,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
ellinair,Ellinair,EL,Greece,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,yes,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
emetebe-airlines,Emetebe Airlines,0A,Ecuador,Scheduled,no,,,Latin America,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
empire-airlines,Empire Airlines,EM,United States,Scheduled,no,en,,North America,https://empireairlines.com,https://www.empireairlines.com/contact,,,,,,,,no,,0,0,no,no,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,empire-airlines-1357,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
endeavor-air,Endeavor Air,9E,United States,Scheduled,no,en,,North America,https://endeavorair.com,https://www.endeavorair.com/content/endeavor-air/en_us/contact-us.html,,,,,,,,no,,0,0,no,no,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,endeavor-air-174,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
enter-air,Enter Air,E4,Poland,Scheduled,no,,,Europe,https://enterair.pl,,,,,,,,,no,,0,0,no,no,yes,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",enter-air-337,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
envoy-air,Envoy Air,MQ,United States,Scheduled,no,en,,North America,https://envoyair.com,https://www.envoyair.com/contact,,,,,,,,no,,0,0,no,yes,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",envoy-air-1012,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
equaflight,Equaflight,E7,Republic of the Congo,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;band;region;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
eritrean-airlines,Eritrean Airlines,B8,Eritrea,Scheduled,no,,,Africa,,,,,,,,,,no,,0,0,no,yes,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
ernest-airlines,Ernest Airlines,EG,Italy,Low-cost,no,,,Europe,,,,,,,,,,no,,0,0,no,no,yes,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
eswatini-air,Eswatini Air,RN,Eswatini,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;band;region;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
euro-asia-air,Euro-Asia Air,6Z,Kazakhstan,Scheduled,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
euroatlantic-airways,EuroAtlantic Airways,YU,Portugal,Scheduled,no,,,Europe,https://flyeuroatlantic.pt,,,,,,,,,no,,0,0,no,yes,yes,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",euroatlantic-airways-1476,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
euroairlines,Euroairlines,Q4,Spain,Scheduled,no,,,Europe,https://starlinkaviation.com,https://starlinkaviation.com/contact,,,,,,,,no,,0,0,no,no,no,,locale;band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,starlink-aviation-1668,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
european-air-charter,European Air Charter,H6,United Kingdom,Scheduled,no,en,,Europe,https://euaircharter.com,https://euaircharter.com/contact,,,,,,,,no,,0,0,no,yes,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",european-air-charter-2,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
european-air-transport,European Air Transport,QY,Belgium,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
european-cargo-services-bv,European Cargo Services BV,EJ,Netherlands,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
eurostar,Eurostar,9F,United Kingdom,Scheduled,no,en,,Europe,,,,,,,,,,no,,0,0,no,no,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
everts-air-cargo,Everts Air Cargo,5V,United States,Scheduled,no,en,,North America,https://evertsair.com,https://evertsair.com/index.php/contact,,,,,,,,no,,0,0,no,yes,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",everts-air-377,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
express-airline,Express Airline,7A,Tunisia,Scheduled,no,en,,Africa,https://express-aircargo.com,https://express-aircargo.com/en/contact,,,,,,,,no,,0,0,no,no,no,,band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,express-air-cargo-892,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
expressjet,ExpressJet,EV,United States,Scheduled,no,en,,North America,https://expressjet.com,,,,,,,,,no,,0,0,no,yes,no,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",expressjet-1843,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
fat-far-eastern-air-transport,FAT Far Eastern Air Transport,FE,Taiwan (Republic of China),Scheduled,no,,,,https://748airservices.com,,,,,,,,,no,,0,0,no,yes,no,,locale;band;region;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,748-air-services-578,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
flyone-armenia,FLYONE Armenia,3F,Armenia,Low-cost,no,,,Asia,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
fedex,FedEx,FX,United States,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,yes,no,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
finistair,Finist'air,0D,France,Scheduled,no,,,Europe,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
first-air,First Air,7F,Canada,Scheduled,no,en,,North America,,,,,,,,,,no,,0,0,no,yes,yes,,band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
fitsair,FitsAir,8D,Sri Lanka,Low-cost,no,,,Asia,https://servantair.com,,,,,,,,,no,,0,0,no,no,no,,locale;band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,servant-air-1096,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
flair-airlines,Flair Airlines,F8,Canada,Low-cost,no,en,,North America,https://flyflair.com,,,,,,,,,no,,0,0,no,no,yes,,band;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,air2there-1115,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
flexflight,FlexFlight,W2,Denmark,Scheduled,no,,,Europe,https://globeair.com,https://flexflight.dk/contact-us,,,,,,,,no,,0,0,no,no,no,,locale;band;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,flexflight-617,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv,"has official/help only, no page URLs for fetch manifest"
flightlink,Flightlink,YS,Tanzania,Scheduled,no,,,Africa,,,,,,,,,,no,,0,0,no,no,no,,locale;band;official_website;help_root;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector;,,,,no usable filled fields
