carrier_key,name,iata,country,type,in_fetch_manifest,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,has_capture_folder,latest_capture_set,ok_pages,failed_pages,has_candidates,has_fact_file,has_review_file,prefilled_conditions_url,missing_fields,notes
asman-airlines,Asman Airlines,MN,Kyrgyzstan,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
atlantic-airways,Atlantic Airways,RC,Faroe Islands,Low-cost,yes,en,manual-priority,Asia,https://www.atlanticairways.com,,https://www.atlantic.fo/alt-um-ferðina/ferðatreytir/conditions-of-carriage-for-passengers-and-baggage,https://www.atlantic.fo/alt-um-ferðina/ferðatreytir/conditions-of-carriage-for-passengers-and-baggage,https://www.atlantic.fo/alt-um-ferðina/ferðatreytir/conditions-of-carriage-for-passengers-and-baggage,,,https://www.atlanticairways.com/media/1523/iata_conditions-of-contract_en.pdf,,yes,2026-09-03,0,4,no,yes,no,https://www.atlanticairways.com/media/1523/iata_conditions-of-contract_en.pdf,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
atlas-air,Atlas Air,5Y,United States,Scheduled,yes,en-us,manual-priority,North America,,,https://www.atlasair.com/page_widgets/text-widget-passenger-services-baggage,https://www.atlasair.com/page_widgets/text-widget-passenger-services-baggage,https://www.atlasair.com/page_widgets/text-widget-passenger-services-baggage,,,https://jumpseat.atlasair.com/aa/ConditionsofCarriage.pdf,,yes,2026-09-03,0,4,no,yes,no,,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
atran,Atran,V8,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
auric-air,Auric Air,UI,Tanzania,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
aurigny,Aurigny,GR,Guernsey,Scheduled,no,,,,https://www.aurigny.com,,,,,,,,,no,,0,0,no,no,no,https://www.aurigny.com/legal/conditions-carriage,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
aurora,Aurora,HZ,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
austral-lineas-aereas,Austral Lineas Aereas,AU,Argentina,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
australian-airlines,Australian Airlines,AO,Australia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
austrian-airlines,Austrian Airlines,OS,Austria,Scheduled,yes,en,manual-priority,Europe,https://www.austrian.com,,https://www.austrian.com/at/en/baggage,https://www.austrian.com/at/en/baggage,https://www.austrian.com/at/en/baggage,,,https://www.austrian.com/es/en/legal/conditions-of-carriage,,yes,2026-09-03,0,4,no,yes,no,https://www.austrian.com/es/en/legal/conditions-of-carriage,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
avelo-airlines,Avelo Airlines,XP,United States,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
avia-traffic-company,Avia Traffic Company,ТФ,Kyrgyzstan,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
aviacon-zitotrans-air-company-jsc,Aviacon Zitotrans Air Company JSC,ZR,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
avialeasing-aviation-company,Avialeasing Aviation Company,V2,Uzbekistan,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
avianca,Avianca,AV,Colombia,Scheduled,yes,en,manual-priority,South America,https://www.avianca.com,,https://ayuda.avianca.com/hc/en-us/sections/13768649925787-Checked-baggage,https://ayuda.avianca.com/hc/en-us/sections/13467208526619-Carry-on-baggage,https://ayuda.avianca.com/hc/en-us/sections/13768649925787-Checked-baggage,,,https://www.avianca.com/uk/en/sobre-nosotros/informacion-legal/contrato-transporte/,,yes,2026-09-03,3,1,no,yes,no,https://www.avianca.com/uk/en/sobre-nosotros/informacion-legal/contrato-transporte/,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
avianca-brazil,Avianca Brazil,O6,Brazil,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
avianca-costa-rica,Avianca Costa Rica,LR,Costa Rica,Scheduled,yes,en,manual-priority,North America,https://www.avianca.com/en/about-us/contact-us,https://www.avianca.com/en/about-us/contact-us,https://ayuda.avianca.com/hc/en-us/sections/13768649925787-Checked-baggage,https://ayuda.avianca.com/hc/en-us/sections/13467208526619-Carry-on-baggage,https://ayuda.avianca.com/hc/en-us/sections/13768649925787-Checked-baggage,,https://ayuda.avianca.com/hc/en-us/sections/13499963148955-Check-in,https://www.avianca.com/uk/en/sobre-nosotros/informacion-legal/contrato-transporte/,,yes,2026-09-03,4,1,no,yes,no,https://www.avianca.com/uk/en/sobre-nosotros/informacion-legal/contrato-transporte/,fare_conditions_url;article_selector,5/6 urls imported from filled priority CSV
avianca-ecuador,Avianca Ecuador,2K,Ecuador,Scheduled,yes,en,manual-priority,South America,https://www.avianca.com/en/about-us/contact-us,https://www.avianca.com/en/about-us/contact-us,https://ayuda.avianca.com/hc/en-us/sections/13768649925787-Checked-baggage,https://ayuda.avianca.com/hc/en-us/sections/13467208526619-Carry-on-baggage,https://ayuda.avianca.com/hc/en-us/sections/13768649925787-Checked-baggage,,,,,yes,2026-09-03,3,0,no,yes,no,avianca.com/otr/en/about-us/legal-documentation/contract-of-carriage/,fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,3/6 urls imported from filled priority CSV
avianca-el-salvador,Avianca El Salvador,TA,El Salvador,Scheduled,no,,,,https://www.avianca.com,,,,,,,,,no,,0,0,no,no,no,https://www.avianca.com/uk/en/sobre-nosotros/informacion-legal/contrato-transporte/,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
avianca-guatemala,Avianca Guatemala,GU,Guatemala,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
avianca-peru,Avianca Peru,T0,Peru,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
aviastar-tu,Aviastar-TU,4B,Russia,Scheduled,yes,en,manual-priority,Europe,https://www.boutiqueair.com,,,,,,,https://www.boutiqueair.com/pages/terms,,yes,2026-09-03,0,1,no,yes,no,https://www.boutiqueair.com/pages/terms,baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector,1/6 urls imported from filled priority CSV
avion-express-lithuania,Avion Express Lithuania,X9,Lithuania,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
avion-express-malta,Avion Express Malta,4X,Malta,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
avior-airlines,Avior Airlines,3R,Venezuela,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
azerbaijan-airlines,Azerbaijan Airlines,J2,Azerbaijan,Scheduled,yes,en,manual-priority,Asia,https://help.azal.az/hc/en-us/articles/36299412204562-How-do-I-know-which-fare-is-best-for-me,https://help.azal.az/hc/en-us/articles/36299412204562-How-do-I-know-which-fare-is-best-for-me,https://help.azal.az/hc/en-us/articles/36484496277266-What-items-are-restricted-in-baggage,https://help.azal.az/hc/en-us/articles/36291641558162-Where-can-I-find-hand-baggage-rules,https://help.azal.az/hc/en-us/articles/36484496277266-What-items-are-restricted-in-baggage,,,https://www.azal.az/en/information/rules-and-conditions,,yes,2026-09-03,3,1,no,yes,no,https://www.azal.az/en/information/rules-and-conditions,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
azimuth,Azimuth,A4,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
aztec-airways,Aztec Airways,AJ,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
azul-airlines,Azul Airlines,AD,Brazil,Low-cost,no,,,,https://www.voeazul.com.br,,,,,,,,,no,,0,0,no,no,no,https://www.voeazul.com.br/en/for-your-trip/international-flights/contract-of-carriage,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ba-cityflyer,BA Cityflyer,CJ,United Kingdom,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ba-euroflyer,BA Euroflyer,A0,United Kingdom,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bb-airways,BB Airways,BO,Nepal,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bbn-airlines,BBN Airlines,B5,Indonesia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bh-air,BH Air,8H,Bulgaria,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bmi-regional,BMI regional,BM,United Kingdom,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bqb-lineas-aereas,BQB Lineas Aereas,5Q,Uruguay,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bra,BRA,TF,Sweden,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bvi-airways,BVI Airways,XV,British Virgin Islands,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
badr-airlines,Badr Airlines,J4,Sudan,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bahamasair,Bahamasair,UP,Bahamas,Scheduled,no,,,,https://www.bahamasair.com,,,,,,,,,no,,0,0,no,no,no,https://www.bahamasair.com/other-policies-forms/conditions-of-carriage,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
balkan,Balkan,БА,Bulgaria,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bamboo-airways,Bamboo Airways,QH,Vietnam,Scheduled,no,,,,https://www.bambooairways.com,,,,,,,,,no,,0,0,no,no,no,https://www.bambooairways.com/global-en/terms-and-conditions/conditions-of-carriage/,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bangkok-airways,Bangkok Airways,PG,Thailand,Scheduled,yes,en-th,1b,Southeast Asia,https://www.bangkokair.com,,https://www.bangkokair.com/baggage-allowance,https://www.bangkokair.com/carry-on-baggage,https://www.bangkokair.com/excess-baggage,https://www.bangkokair.com/fare-rules,https://www.bangkokair.com/check-in,https://www.bangkokair.com/conditions-of-carriage,,yes,2026-09-03,0,6,no,yes,no,https://www.bangkokair.com/conditions/conditions-of-carriage,article_selector,"parked — 403 on all six paths, blocked rather than a URL problem"
bassaka-air,Bassaka Air,5B,Cambodia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
batik-air,Batik Air,ID,Indonesia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
batik-air-malaysia,Batik Air Malaysia,OD,Malaysia,Scheduled,no,,,,https://www.malindoair.com,,,,,,,,,no,,0,0,no,no,no,https://www.malindoair.com/terms-and-conditions,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
beond,BeOnd,B4,Maldives,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bearskin-airlines,Bearskin Airlines,JV,Canada,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bees-airline,Bees Airline,7B,Ukraine,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
beijing-capital-airlines,Beijing Capital Airlines,JD,China,Scheduled,yes,en,manual-priority,Asia,https://intl.jdair.net,,,,,,,https://intl.jdair.net/news/index?id=73&valueMenuaid=75,,yes,2026-09-03,0,1,no,yes,no,https://intl.jdair.net/news/index?id=73&valueMenuaid=75,baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector,1/6 urls imported from filled priority CSV
belavia,Belavia,B2,Belarus,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bemidji-airlines,Bemidji Airlines,CH,United States,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bering-air,Bering Air,8E,United States,Scheduled,yes,en-us,manual-priority,North America,,,https://www.beringair.com/faqs/nome-excess-baggage-rates,https://www.beringair.com/faqs/nome-excess-baggage-rates,https://www.beringair.com/faqs/nome-excess-baggage-rates,,,,,yes,2026-09-03,0,3,no,yes,no,,fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,3/6 urls imported from filled priority CSV
berjaya-air,Berjaya Air,J8,Malaysia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bermudair,BermudAir,2T,Bermuda,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
berniq-airways,Berniq Airways,NB,Libya,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bhutan-airlines,Bhutan Airlines,B3,Bhutan,Scheduled,yes,en,manual-priority,Asia,,,https://www.bhutanairlines.bt/travel-tools/baggage-and-cargo,https://www.bhutanairlines.bt/services/in-flight-services/baggage-baggage,https://www.bhutanairlines.bt/travel-tools/baggage-and-cargo,,,,,yes,2026-09-03,3,0,no,yes,no,,fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,3/6 urls imported from filled priority CSV
biman-bangladesh-airlines,Biman Bangladesh Airlines,BG,Bangladesh,Scheduled,no,,,,https://www.biman-airlines.com,,,,,,,,,no,,0,0,no,no,no,https://www.biman-airlines.com/termsConditions#Carriage-for-Passengers-and-Baggage,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
binter-canarias,Binter Canarias,NT,Spain,Scheduled,yes,en,manual-priority,Europe,https://www.bintercanarias.com,,https://www.bintercanarias.com/en/extra-checked-baggage,https://www.bintercanarias.com/es/informacion/equipaje-de-mano,https://www.bintercanarias.com/en/extra-checked-baggage,,,https://www.bintercanarias.com/eng/information/contract-of-carriage,,yes,2026-09-03,0,4,no,yes,no,https://www.bintercanarias.com/eng/information/contract-of-carriage,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
blue-air,Blue Air,0B,Romania,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
blue-bird-airways,Blue Bird Airways,BZ,Kenya,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
blue-islands,Blue Islands,SI,United Kingdom,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
blue1,Blue1,KF,Finland,Scheduled,yes,en,manual-priority,Europe,https://www.airbelgium.com,,,,,,,https://www.airbelgium.com/en/legal/general-terms-and-conditions-of-carriage/,,yes,2026-09-03,0,1,no,yes,no,https://www.airbelgium.com/en/legal/general-terms-and-conditions-of-carriage/,baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector,1/6 urls imported from filled priority CSV
boliviana-de-aviacion,Boliviana de Aviación,OB,Bolivia,Scheduled,yes,en,manual-priority,South America,https://www.boa.bo,,https://www.boa.bo/Contenido/baggage-cc5xiep3,https://www.boa.bo/Contenido/baggage-cc5xiep3,https://www.boa.bo/Contenido/baggage-cc5xiep3,,,https://www.boa.bo/content/docs/contrato_transporte_en.pdf,,yes,2026-09-03,0,4,no,yes,no,https://www.boa.bo/content/docs/contrato_transporte_en.pdf,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
bonza,Bonza,AB,Australia,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
breeze-airways,Breeze Airways,MX,United States,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bringer-air-cargo,Bringer Air Cargo,E6,Brazil,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
brit-air,Brit Air,DB,France,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
british-airways,British Airways,BA,United Kingdom,Scheduled,yes,en-gb,1a,Europe,https://www.britishairways.com,,https://www.britishairways.com/content/information/baggage-essentials/checked-baggage-allowances,https://www.britishairways.com/content/information/baggage-essentials/hand-baggage-allowances,https://www.britishairways.com/content/information/baggage-essentials/extra-overweight-baggage,https://www.britishairways.com/content/information/terms-and-conditions/conditions-of-carriage,https://www.britishairways.com/content/information/checking-in-and-boarding,https://www.britishairways.com/content/information/terms-and-conditions/conditions-of-carriage,,yes,2026-09-03,0,6,no,yes,yes,https://www.britishairways.com/en-gb/information/legal/british-airways/general-conditions-of-carriage,article_selector,6/6 urls
brussels-airlines,Brussels Airlines,SN,Belgium,Scheduled,yes,en,manual-priority,Europe,https://www.brusselsairlines.com,,https://www.brusselsairlines.com/ao/en/extra-services/baggage/checked-baggage,https://www.brusselsairlines.com/ao/en/extra-services/baggage/checked-baggage,https://www.brusselsairlines.com/ao/en/extra-services/baggage/checked-baggage,,,https://www.brusselsairlines.com/de/en/legal-notices/terms-and-conditions-conditions-of-carriage,,yes,2026-09-03,0,4,no,yes,yes,https://www.brusselsairlines.com/de/en/legal-notices/terms-and-conditions-conditions-of-carriage,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
buddha-air,Buddha Air,U4,Nepal,Scheduled,yes,en,manual-priority,Asia,,,https://www.buddhaair.com/detail/baggage,https://www.buddhaair.com/blog/cabin-or-carry-on-luggage-rules-what-you-need-to-know,https://www.buddhaair.com/detail/baggage,,,,,yes,2026-09-03,0,3,no,yes,yes,,fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,3/6 urls imported from filled priority CSV
buffalo-airways-ltd,Buffalo Airways Ltd.,J0,Canada,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bul-air,Bul Air,LB,India,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
bulgaria-air,Bulgaria Air,FB,Bulgaria,Scheduled,yes,en,manual-priority,Europe,https://www.air.bg,,,,,,,https://www.air.bg/en/customer-support/general-conditions-of-carriage/,,yes,2026-09-03,0,1,no,no,yes,https://www.air.bg/en/customer-support/general-conditions-of-carriage/,baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector,1/6 urls imported from filled priority CSV
buraq-air,Buraq Air,UZ,Libya,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
buta-airways,Buta Airways,55,Azerbaijan,Low-cost,no,,,,,,,,,,,,,no,,0,0,no,no,yes,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
buzz,Buzz,RR,Poland,Low-cost,no,,,,https://www.buzzair.com,,,,,,,,,no,,0,0,no,no,no,https://www.buzzair.com/en/terms-conditions-of-carriage/,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
ceiba-intercontinental,CEIBA Intercontinental,C2,Equatorial Guinea,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,yes,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
cjsc-royal-flight-airlines,CJSC Royal Flight airlines,4R,Russia,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
cm-airlines,CM Airlines,H5,Honduras,Scheduled,yes,en,manual-priority,Asia,,,https://www.cmairlines.com/equipaje-en,https://www.cmairlines.com/equipaje-en,https://www.cmairlines.com/equipaje-en,,,,,yes,2026-09-03,3,0,no,no,yes,,fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,3/6 urls imported from filled priority CSV
csa-czech-airlines,CSA Czech Airlines,OK,Czech Republic,Scheduled,yes,en,manual-priority,Europe,https://www.csa.cz,,,,,,,https://www.csa.cz/gb-en/travel-information/before-the-flight/conditions-of-carriage/,,yes,2026-09-03,0,1,no,yes,yes,https://www.csa.cz/gb-en/travel-information/before-the-flight/conditions-of-carriage/,baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;article_selector,1/6 urls imported from filled priority CSV
cabo-verde-airlines,Cabo Verde Airlines,VR,Cape Verde,Scheduled,yes,en,manual-priority,Asia,https://caboverdeairlines.com/en/need-help/offices.html,https://caboverdeairlines.com/en/need-help/offices.html,https://www.caboverdeairlines.com/informacoes-de-viagem/no-aeroporto/bagagem.html,https://caboverdeairlines.com/en/travel-information/at-the-airport/baggage-info,https://www.caboverdeairlines.com/informacoes-de-viagem/no-aeroporto/bagagem.html,,,https://caboverdeairlines.com/general-terms-and-conditions/,,yes,2026-09-03,0,4,no,yes,yes,https://caboverdeairlines.com/general-terms-and-conditions/,fare_conditions_url;checkin_url;article_selector,4/6 urls imported from filled priority CSV
caicos-express-airways,Caicos Express Airways,9Q,Turks and Caicos Islands,Scheduled,no,,,,,,,,,,,,,no,,0,0,no,no,no,,locale;region;baggage_checked_url;baggage_carryon_url;baggage_fees_url;fare_conditions_url;checkin_url;conditions_of_carriage_url;article_selector,
