carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file
etihad-airways,Etihad Airways,EY,United Arab Emirates,Scheduled,,,,https://www.etihad.com,,,,,,,https://www.etihad.com/en-gb/legal/conditions-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
euroatlantic-airways,EuroAtlantic Airways,YU,Portugal,Scheduled,,,,,,,,,,,,,,yes,yes
european-air-charter,European Air Charter,H6,United Kingdom,Scheduled,,,,,,,,,,,,,,yes,no
everts-air-cargo,Everts Air Cargo,5V,United States,Scheduled,,,,,,,,,,,,,,yes,no
expressjet,ExpressJet,EV,United States,Scheduled,,,,,,,,,,,,,,yes,no
fat-far-eastern-air-transport,FAT Far Eastern Air Transport,FE,Taiwan (Republic of China),Scheduled,,,,,,,,,,,,,,yes,no
fedex,FedEx,FX,United States,Scheduled,,,,,,,,,,,,,,yes,no
firefly,Firefly,FY,Malaysia,Scheduled,,,,,,,,,,,,,,yes,yes
first-air,First Air,7F,Canada,Scheduled,,,,,,,,,,,,,,yes,yes
flair-airlines,Flair Airlines,F8,Canada,Low-cost,,,,,,,,,,,,,,no,yes
fly-all-ways,Fly All Ways,8W,Suriname,Scheduled,,,,,,,,,,,,,,no,yes
fly-baghdad,Fly Baghdad,IF,Iraq,Scheduled,,,,,,,,,,,,,,no,yes
fly-one,Fly One,5F,Moldova,Low-cost,,,,https://flyone.eu,,,,,,,https://flyone.eu/en/About-FLYONE/General-Rules,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,no,yes
flyarystan,FlyArystan,FS,Kazakhstan,Low-cost,,,,,,,,,,,,,,no,yes
flybe,Flybe,BE,United Kingdom,Low-cost,,,,,,,,,,,,,,yes,no
flybosnia,FlyBosnia,6W,Bosnia and Herzegovina,Scheduled,,,,,,,,,,,,,,no,yes
flyegypt,FlyEgypt,FT,Egypt,Scheduled,,,,,,,,,,,,,,no,yes
frontier-airlines,Frontier Airlines,F9,United States,Low-cost,,,,https://www.flyfrontier.com,,,,,,,https://www.flyfrontier.com/legal/contract-of-carriage,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
fuji-dream-airlines,Fuji Dream Airlines,JH,Japan,Scheduled,,,,,,,,,,,,,,no,yes
fuzhou-airlines,Fuzhou Airlines,FU,China,Scheduled,,,,,,,,,,,,,,no,yes
georgian-airways,Georgian Airways,A9,Georgia,Scheduled,,,,https://www.georgian-airways.com,,,,,,,https://www.georgian-airways.com/en/information/conditions,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
globus-airlines,Globus Airlines,GH,Russia,Scheduled,,,,,,,,,,,,,,yes,no
gojet-airlines,GoJet Airlines,G7,United States,Scheduled,,,,,,,,,,,,,,yes,no
gol-transportes-aereos,Gol Transportes Aéreos,G3,Brazil,Low-cost,,,,https://www.voegol.com.br,,,,,,,https://www.voegol.com.br/en-us/legal-information/passenger-air-transportation-agreement,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no
grand-canyon-scenic-airlines,Grand Canyon Scenic Airlines,YR,United States,Scheduled,,,,,,,,,,,,,,yes,no
grand-china-air,Grand China Air,CN,China,Scheduled,,,,,,,,,,,,,,yes,yes
great-lakes-airlines,Great Lakes Airlines,ZK,United States,Scheduled,,,,,,,,,,,,,,yes,no
