name,slug,iata,country,type
Air Madagascar,air-madagascar,MD,Madagascar,Scheduled
Air Manas,air-manas,ZM,Kyrgyzstan,Low-cost
Air Mauritius,air-mauritius,MK,Mauritius,Scheduled
Air Mekong,air-mekong,P8,Vietnam,Scheduled
Air Moana,air-moana,NM,French Polynesia,Scheduled
Air Mobility Command,air-mobility-command,MC,United States,Scheduled
Air Moldova,air-moldova,9U,Moldova,Scheduled
Air Montenegro,air-montenegro,4O,Montenegro,Scheduled
Air Namibia,air-namibia,SW,Namibia,Scheduled
Air New Zealand,air-new-zealand,NZ,New Zealand,Scheduled
Air Niamey,air-niamey,A7,Niger,Low-cost
Air Niugini,air-niugini,PX,Papua New Guinea,Scheduled
Air North,air-north,4N,Canada,Scheduled
Air Nostrum,air-nostrum,YW,Spain,Scheduled
Air Ocean Airlines,air-ocean-airlines,0O,Ukraine,Scheduled
Air Panama,air-panama,7P,Panama,Scheduled
Air Peace,air-peace,P4,Honduras,Low-cost
Air Premia,air-premia,YP,South Korea,Scheduled
Air Rarotonga,air-rarotonga,GZ,Cook Islands,Scheduled
Air Saint Pierre,air-saint-pierre,PJ,France,Scheduled
Air Samarkand,air-samarkand,9S,Uzbekistan,Scheduled
Air Seoul,air-seoul,RS,South Korea,Low-cost
Air Serbia,air-serbia,JU,Serbia,Scheduled
Air Seychelles,air-seychelles,HM,Seychelles,Scheduled
Air Tahiti,air-tahiti,VT,French Polynesia,Scheduled
Air Tahiti Nui,air-tahiti-nui,TN,France,Scheduled
Air Tanzania,air-tanzania,TC,Tanzania,Scheduled
Air Thanlwin,air-thanlwin,ST,Myanmar,Scheduled
Air Timor,air-timor,6C,Timor-Leste,Scheduled
Air Tindi,air-tindi,8T,Canada,Scheduled
Air Transat,air-transat,TS,Canada,Scheduled
Air Transport Association of Americad\b\a Airlines for America,air-transport-association-of-americadba-airlines-for-america,XD,United States,Scheduled
Air Transport International L.L.C.,air-transport-international-llc,8C,United States,Scheduled
Air Travel,air-travel,A6,China,Scheduled
Air Vanuatu,air-vanuatu,NF,Vanuatu,Scheduled
Air Wisconsin,air-wisconsin,ZW,United States,Scheduled
Air X Charter,air-x-charter,AX,Malta,Scheduled
Air Zimbabwe,air-zimbabwe,UM,Zimbabwe,Scheduled
AirAsia,airasia,AK,Malaysia,Low-cost
AirAsia Cambodia,airasia-cambodia,KT,Cambodia,Low-cost
AirAsia X,airasia-x,D7,Malaysia,Low-cost
AirBorneo,airborneo,MY,Malaysia,Scheduled
AirBridgeCargo,airbridgecargo,RU,Russia,Scheduled
AirConnect,airconnect,KS,Romania,Scheduled
AirDolomiti,airdolomiti,EN,Italy,Scheduled
AirExplore,airexplore,ED,Slovakia,Scheduled
AirKenya,airkenya,P2,Kenya,Scheduled
AirSWIFT,airswift,T6,Philippines,Scheduled
Aircalin,aircalin,SB,New Caledonia,Scheduled
Airfast Indonesia,airfast-indonesia,1T,Indonesia,Scheduled
Airhub Airlines,airhub-airlines,RE,Malta,Scheduled
Airline Urga,airline-urga,3N,Ukraine,Scheduled
Airlink,airlink,4Z,Austria,Scheduled
Airmax S.A.,airmax-sa,X8,Peru,Scheduled
Airnorth,airnorth,TL,Australia,Scheduled
Airshop B.V.,airshop-bv,FF,Netherlands,Scheduled
Airzena,airzena,LV,Georgia,Scheduled
Ajet,ajet,VF,Cyprus,Low-cost
Ak Bars Aero,ak-bars-aero,2B,Russia,Low-cost
Akasa Air,akasa-air,QP,India,Low-cost
Aklak Air,aklak-air,6L,Canada,Scheduled
AlMasria Universal Airlines,almasria-universal-airlines,UJ,Egypt,Scheduled
Alaska Airlines,alaska-airlines,AS,United States,Scheduled
Alaska Seaplanes,alaska-seaplanes,J5,United States,Scheduled
AlbaStar,albastar,AP,Spain,Scheduled
Alexandria Airlines,alexandria-airlines,DQ,Egypt,Scheduled
All Nippon Airways,all-nippon-airways,NH,Japan,Scheduled
Allegiant Air,allegiant-air,G4,United States,Low-cost
Alliance Air,alliance-air,9I,India,Scheduled
Alliance Airlines,alliance-airlines,QQ,Australia,Scheduled
Alpha Air Transport,alpha-air-transport,7U,Canada,Scheduled
Alsa Grupo SLU,alsa-grupo-slu,5I,Spain,Scheduled
Amadeus IT Group SA,amadeus-it-group-sa,1A,Spain,Scheduled
Amakusa Airlines,amakusa-airlines,MZ,Japan,Scheduled
Amaszonas,amaszonas,Z8,Bolivia,Scheduled
Amaszonas Uruguay,amaszonas-uruguay,Z7,Uruguay,Scheduled
Amelia,amelia,8R,France,Scheduled
American Airlines,american-airlines,AA,United States,Scheduled
American Eagle,american-eagle,ZZ,United States,Scheduled
Amerijet International Inc.,amerijet-international-inc,M6,United States,Scheduled
Amtrak,amtrak,2V,United States,Scheduled
Andes Lineas Aereas,andes-lineas-aereas,O4,Argentina,Scheduled
Angara Airlines,angara-airlines,2G,Russia,Scheduled
Anguilla Air Services,anguilla-air-services,Q3,Russia,Scheduled
Animawings,animawings,A2,Romania,Scheduled
Arajet,arajet,DM,Dominican Republic,Low-cost
"Arctic Transportation Services, Inc Ryan Air",arctic-transportation-services-inc-ryan-air,7S,United States,Scheduled
Ariana Afghan Airlines,ariana-afghan-airlines,FG,Afghanistan,Scheduled
Arik Air,arik-air,W3,Nigeria,Scheduled
Arkhangelsk-2,arkhangelsk-2,АЧ,Russia,Scheduled
Arkia,arkia,IZ,Israel,Scheduled
Arktika,arktika,СИ,Russia,Scheduled
Armenia Airways,armenia-airways,6A,Armenia,Scheduled
Armenian Airlines,armenian-airlines,JI,Armenia,Scheduled
Aruba Airlines,aruba-airlines,AG,Aruba,Scheduled
Ascend Airways,ascend-airways,YD,Belarus,Scheduled
Aserca Airlines,aserca-airlines,R7,Venezuela,Scheduled
Asian Wings Airways,asian-wings-airways,YJ,Burma,Scheduled
Asiana Airlines,asiana-airlines,OZ,South Korea,Scheduled
Asman Airlines,asman-airlines,MN,Kyrgyzstan,Low-cost
Atlantic Airways,atlantic-airways,RC,Faroe Islands,Low-cost
Atlas Air,atlas-air,5Y,United States,Scheduled
Atran,atran,V8,Russia,Scheduled
Auric Air,auric-air,UI,Tanzania,Scheduled
Aurigny,aurigny,GR,Guernsey,Scheduled
Aurora,aurora,HZ,Russia,Scheduled
Austral Lineas Aereas,austral-lineas-aereas,AU,Argentina,Scheduled
Australian Airlines,australian-airlines,AO,Australia,Scheduled
Austrian Airlines,austrian-airlines,OS,Austria,Scheduled
Avelo Airlines,avelo-airlines,XP,United States,Low-cost
Avia Traffic Company,avia-traffic-company,ТФ,Kyrgyzstan,Scheduled
