name,slug,iata,country,type
Gambia Bird Airlines,gambia-bird-airlines,3G,Gambia,Scheduled
Garuda Indonesia,garuda-indonesia,GA,Indonesia,Scheduled
Gazpromavia,gazpromavia,4G,Russia,Scheduled
Georgian Airways,georgian-airways,A9,Georgia,Scheduled
Georgian Wings,georgian-wings,D4,Georgia,Low-cost
German Airways,german-airways,ZQ,Germany,Scheduled
GetJet Airlines,getjet-airlines,GW,Russia,Scheduled
Ghadames Air,ghadames-air,NJ,Libya,Scheduled
Global Aviation (GEA),global-aviation-gea,IG,South Africa,Scheduled
Global Aviation Services Group,global-aviation-services-group,5S,Libya,Scheduled
Global Feeder Services,global-feeder-services,GC,United States,Scheduled
GlobeAir,globeair,0K,Austria,Scheduled
Globus Airlines,globus-airlines,GH,Russia,Scheduled
Globus LLС,globus-lls,XT,Russia,Scheduled
GoJet Airlines,gojet-airlines,G7,United States,Scheduled
Gol Transportes Aéreos,gol-transportes-aereos,G3,Brazil,Low-cost
Grand Canyon Scenic Airlines,grand-canyon-scenic-airlines,YR,United States,Scheduled
Grand China Air,grand-china-air,CN,China,Scheduled
Grant Aviation,grant-aviation,GV,United States,Scheduled
Great Lakes Airlines,great-lakes-airlines,ZK,United States,Scheduled
Greater Bay Airlines,greater-bay-airlines,HB,Hong Kong,Low-cost
Green Africa Airways,green-africa-airways,Q9,Nigeria,Scheduled
Grumeti Air,grumeti-air,0G,Libya,Scheduled
Gulf Air,gulf-air,GF,Bahrain,Scheduled
GullivAir,gullivair,G2,Bulgaria,Scheduled
Guyane Express Fly,guyane-express-fly,G8,French Guiana,Low-cost
HK Express,hk-express,UO,Hong Kong SAR of China,Low-cost
HOP!,hop,A5,France,Low-cost
Hahn Air,hahn-air,H1,Germany,Scheduled
Hahn Air Technologies,hahn-air-technologies,X1,Germany,Scheduled
Hainan Airlines,hainan-airlines,HU,China,Scheduled
Halcyonair,halcyonair,7Z,Cape Verde,Scheduled
Harbour Air Seaplanes,harbour-air-seaplanes,YB,Canada,Scheduled
Hawaiian Airlines,hawaiian-airlines,HA,United States,Scheduled
Hawkair,hawkair,BH,Canada,Scheduled
Hayways,hayways,Y5,Armenia,Low-cost
Hebei Airlines,hebei-airlines,NS,China,Scheduled
Heli Air Monaco,heli-air-monaco,YO,Monaco,Scheduled
Helicópteros del Sureste,helicopteros-del-sureste,UV,Spain,Scheduled
Helijet,helijet,JB,Canada,Scheduled
Helvetic Airways,helvetic-airways,2L,Switzerland,Scheduled
Heron Aviation,heron-aviation,0V,Germany,Scheduled
Heston Airlines,heston-airlines,HN,Lithuania,Scheduled
Hi Fly Ltd,hi-fly-ltd,5M,Portugal,Scheduled
HiSky,hisky,H7,Moldova,Scheduled
HiSky Europe,hisky-europe,H4,Romania,Low-cost
Himalaya Airlines,himalaya-airlines,H9,Nepal,Scheduled
Hinterland Aviation,hinterland-aviation,OI,Australia,Scheduled
Hong Kong Air Cargo Carrier Limited,hong-kong-air-cargo-carrier-limited,RH,Hong Kong,Scheduled
Hong Kong Airlines,hong-kong-airlines,HX,Hong Kong SAR of China,Scheduled
Horizon Air,horizon-air,QX,United States,Scheduled
Humo Air,humo-air,HJ,Uzbekistan,Low-cost
Hunnu Air,hunnu-air,MR,Germany,Scheduled
Hydro - Quebec,hydro-quebec,0Q,Canada,Scheduled
Héli Sécurité Hélicopter Airline,heli-securite-helicopter-airline,HS,France,Scheduled
IATA - Clearing HouseInternational Air Transport Association,iata-clearing-houseinternational-air-transport-association,XB,Canada,Scheduled
IBC Airways,ibc-airways,II,United States,Scheduled
IHY Izmir Havayollari A.S.,ihy-izmir-havayollari-as,44,Turkey,Scheduled
"INFINI Travel Information, Inc.",infini-travel-information-inc,1F,Japan,Scheduled
IRYO,iryo,I6,Spain,Scheduled
ITA Airways,ita-airways,AZ,Italy,Scheduled
ITA Software Inc.,ita-software-inc,1U,United States,Scheduled
Iberia,iberia,IB,Spain,Scheduled
Iberia Express,iberia-express,I2,Spain,Low-cost
Iberojet,iberojet,E9,United States,Scheduled
Ibex Airlines,ibex-airlines,FW,Japan,Scheduled
Ibom Air,ibom-air,QI,Denmark,Scheduled
Icelandair,icelandair,FI,Iceland,Scheduled
Ikar,ikar,EO,Russia,Low-cost
IndiGo,indigo,6E,India,Low-cost
Indonesia AirAsia,indonesia-airasia,QZ,Indonesia,Low-cost
InnoAviation,innoaviation,I3,Iran,Scheduled
Insel Air Aruba,insel-air-aruba,8I,Aruba,Scheduled
InterCaribbean Airways,intercaribbean-airways,JY,Turks and Caicos Islands,Scheduled
IrAero,iraero,IO,Russia,Scheduled
Iran Air,iran-air,IR,Iran,Scheduled
Iran Airtour,iran-airtour,B9,Iran,Scheduled
Iran Aseman Airlines,iran-aseman-airlines,EP,Iran,Scheduled
Iraqi Airways,iraqi-airways,IA,Iraq,Scheduled
Island Air,island-air,WP,Mexico,Scheduled
Island Air Express,island-air-express,I4,United States,Scheduled
Islena de Inversiones S.A. de C.V.dba Islena Airlines,islena-de-inversiones-sa-de-cvdba-islena-airlines,WC,Honduras,Scheduled
Israir Airlines,israir-airlines,6H,Israel,Scheduled
Itek Air,itek-air,GI,Kyrgyzstan,Scheduled
Izhavia,izhavia,I8,Russia,Scheduled
J&M Alaska Air,jandm-alaska-air,JN,United States,Scheduled
"JSC ""Sirena-Travel""",jsc-sirena-travel,1H,Russia,Scheduled
JSC Aircompany ATMA,jsc-aircompany-atma,IM,Kazakhstan,Scheduled
JSC Kazaviaspas,jsc-kazaviaspas,ZS,Kazakhstan,Scheduled
JSC Transport Automated InformationSystems - TAIS,jsc-transport-automated-informationsystems-tais,1M,Russia,Scheduled
Jambojet,jambojet,JM,Kenya,Low-cost
Japan Air Commuter,japan-air-commuter,JC,Japan,Scheduled
Japan Airlines,japan-airlines,JL,Japan,Scheduled
Japan Transocean Air,japan-transocean-air,NU,Japan,Scheduled
Jazeera Airways,jazeera-airways,J9,Kuwait,Low-cost
Jeju Air,jeju-air,7C,Republic of Korea,Low-cost
Jet Airways,jet-airways,9W,India,Scheduled
Jet Airways Inc.,jet-airways-inc,QJ,United States,Scheduled
Jet Asia Airways,jet-asia-airways,JF,Thailand,Scheduled
Jet Aviation Business,jet-aviation-business,PP,Switzerland,Scheduled
Jet Ops,jet-ops,J6,United Arab Emirates,Scheduled
Jet2.com,jet2com,LS,United Kingdom,Low-cost
JetAir Caribbean,jetair-caribbean,4J,Curaçao,Scheduled
JetLite,jetlite,S2,India,Low-cost
JetSmart,jetsmart,JA,Chile,Low-cost
JetSmart Argentina,jetsmart-argentina,WJ,Argentina,Low-cost
JetSmart Peru,jetsmart-peru,JZ,Peru,Low-cost
Jetairfly,jetairfly,TB,Belgium,Low-cost
Jetstar,jetstar,JQ,Australia,Low-cost
Jetstar Asia,jetstar-asia,3K,Singapore,Low-cost
Jetstar Japan,jetstar-japan,GK,Japan,Low-cost
Jiangxi Air,jiangxi-air,RY,China,Low-cost
Jin Air,jin-air,LJ,South Korea,Low-cost
Jonair,jonair,0N,Sweden,Scheduled
Jonika Airlines,jonika-airlines,JO,Ukraine,Low-cost
Jordan Aviation,jordan-aviation,R5,Jordan,Scheduled
Joy Air,joy-air,JR,China,Scheduled
Juneyao Airlines,juneyao-airlines,HO,China,Scheduled
K-Mile Air Co. Ltd,k-mile-air-co-ltd,8K,Thailand,Scheduled
KC International Airlines,kc-international-airlines,3Q,Cambodia,Scheduled
KLM Cityhopper,klm-cityhopper,WA,Netherlands,Scheduled
KLM Royal Dutch Airlines,klm-royal-dutch-airlines,KL,Netherlands,Scheduled
KM Malta Airlines,km-malta-airlines,KM,Malta,Low-cost
Kalitta Air,kalitta-air,K4,United States,Scheduled
Kalstar Aviation,kalstar-aviation,KD,Indonesia,Scheduled
Kam Air,kam-air,RQ,Afghanistan,Scheduled
Kamchatka Air,kamchatka-air,ДЕ,Russia,Scheduled
Kan Air,kan-air,K8,Thailand,Scheduled
Kartika Airlines,kartika-airlines,3Y,Indonesia,Scheduled
Kenmore Air,kenmore-air,M5,United States,Scheduled
Kenn Borek Air,kenn-borek-air,4K,Canada,Scheduled
Kenya Airways,kenya-airways,KQ,Kenya,Scheduled
Khabarovsk Avia,khabarovsk-avia,НИ,Russia,Scheduled
Komiaviatrans,komiaviatrans,ИГ,Russia,Scheduled
Korean Air,korean-air,KE,Republic of Korea,Scheduled
Korongo Airlines,korongo-airlines,ZC,Democratic Republic of the Congo,Scheduled
Kosmos,kosmos,ГК,Russia,Scheduled
Kostroma Air,kostroma-air,КБ,Russia,Scheduled
KrasAvia,krasavia,KV,Russia,Scheduled
Kulula,kulula,МН,South Africa,Low-cost
Kunming Airlines,kunming-airlines,KY,China,Scheduled
Kuwait Airways,kuwait-airways,KU,Kuwait,Scheduled
Kyrgyz Air,kyrgyz-air,KH,Kyrgyzstan,Scheduled
LAM Mozambique Airlines,lam-mozambique-airlines,TM,Mozambique,Scheduled
LAN Chile Cargo,lan-chile-cargo,UC,Chile,Scheduled
LANHSA,lanhsa,00,Israel,Scheduled
LASER Airlines,laser-airlines,QL,Venezuela,Scheduled
LATAM Airlines,latam-airlines,LA,Chile,Scheduled
LATAM Airlines Brasil,latam-airlines-brasil,JJ,Brazil,Scheduled
LATAM Airlines Colombia,latam-airlines-colombia,4C,Colombia,Scheduled
LATAM Airlines Ecuador,latam-airlines-ecuador,XL,Ecuador,Scheduled
LATAM Airlines Paraguay,latam-airlines-paraguay,PZ,Paraguay,Scheduled
LATAM Airlines Peru,latam-airlines-peru,LP,Peru,Scheduled
LATAM Express,latam-express,LU,Chile,Scheduled
LEAV,leav,KK,Turkey,Scheduled
LIFT Airline,lift-airline,GE,South Africa,Low-cost
LOT Polish,lot-polish,LO,Poland,Scheduled
La Compagnie,la-compagnie,B0,France,Scheduled
La Costeña,la-costena,LC,Nicaragua,Scheduled
Lanexang Airways International,lanexang-airways-international,5A,Laos,Scheduled
Lanmei Airlines,lanmei-airlines,LQ,Cambodia,Low-cost
Lao Airlines,lao-airlines,QV,Laos,Scheduled
Lao Skyway,lao-skyway,LK,Laos,Scheduled
"Laparkan Airways, Inc.",laparkan-airways-inc,LE,United States,Scheduled
Lauda Europe,lauda-europe,LW,Malta,Scheduled
Level,level,LL,Spain,Scheduled
Levu,levu,6V,Brazil,Scheduled
Liat Air,liat-air,5L,Antigua and Barbuda,Scheduled
Libyan Airlines,libyan-airlines,LN,Libya,Scheduled
Libyan Wings,libyan-wings,YL,Libya,Scheduled
Linea Aerea Carguera de Colombia S.A.,linea-aerea-carguera-de-colombia-sa,L7,Colombia,Scheduled
Linear Air,linear-air,O2,,Scheduled
Link Airways,link-airways,FC,Australia,Scheduled
Lion Air,lion-air,JT,Indonesia,Low-cost
Loganair,loganair,LM,United Kingdom,Scheduled
Longtail Aviation,longtail-aviation,6T,Bermuda,Scheduled
Loong Air,loong-air,GJ,China,Scheduled
Lucky Air,lucky-air,8L,China,Low-cost
Lufthansa,lufthansa,LH,Germany,Scheduled
Lufthansa City Airlines,lufthansa-city-airlines,VL,Bulgaria,Scheduled
Lufthansa CityLine,lufthansa-cityline,CL,Germany,Scheduled
Lufthansa Systems,lufthansa-systems,S1,Germany,Scheduled
Lulutai Airlines,lulutai-airlines,L8,Tonga,Scheduled
Lumiwings,lumiwings,L9,Greece,Scheduled
Luxair,luxair,LG,Luxembourg,Scheduled
Luxwing,luxwing,BN,Malta,Scheduled
"Lynden Air Cargo, LLC",lynden-air-cargo-llc,L2,United States,Scheduled
Lynx Air,lynx-air,Y9,Canada,Low-cost
MAYAir,mayair,7M,Mexico,Scheduled
MHS Aviation,mhs-aviation,M2,Germany,Scheduled
MIAT Mongolian Airlines,miat-mongolian-airlines,OM,Mongolia,Scheduled
MNG Airlines,mng-airlines,MB,Turkey,Scheduled
MYAirline,myairline,Z9,Malaysia,Low-cost
Magnicharters,magnicharters,0Z,Mexico,Scheduled
Mahan Air,mahan-air,W5,Iran,Scheduled
Malawi Airlines,malawi-airlines,3W,Malawi,Scheduled
Malaysia Airlines,malaysia-airlines,MH,Malaysia,Scheduled
Maldivian,maldivian,Q2,Maldives,Scheduled
Malta Air,malta-air,MW,Malta,Low-cost
Maluti Sky,maluti-sky,7D,Lesotho,Scheduled
Mandarin Airlines,mandarin-airlines,AE,Taiwan,Scheduled
Mango,mango,JE,South Africa,Low-cost
Mann Yadanarpon Airlines,mann-yadanarpon-airlines,7Y,Myanmar,Scheduled
Manta Air,manta-air,NR,Maldives,Scheduled
Marabu,marabu,DI,Germany,Scheduled
Marathon Airlines,marathon-airlines,O8,Greece,Scheduled
Martinair,martinair,MP,Netherlands,Scheduled
Mas de Carga S.A. de C.V. dba Masair,mas-de-carga-sa-de-cv-dba-masair,M7,Mexico,Scheduled
Mauritania Airlines,mauritania-airlines,L6,Mauritania,Scheduled
Mavi Gok Airlines,mavi-gok-airlines,4M,Turkey,Scheduled
Maximus Air,maximus-air,6M,United Arab Emirates,Scheduled
Maya Island Air,maya-island-air,2M,Belize,Scheduled
Meraj Airlines,meraj-airlines,0I,Iran,Scheduled
Mesa Airlines,mesa-airlines,YV,United States,Scheduled
MetroJet,metrojet,7K,Hong Kong SAR of China,Scheduled
Middle East Airlines,middle-east-airlines,ME,Lebanon,Low-cost
Mistral Air,mistral-air,M4,Italy,Scheduled
Moldavian Airlines,moldavian-airlines,2М,Moldova,Scheduled
Monacair,monacair,QM,Monaco,Scheduled
Montenegro Airlines,montenegro-airlines,YM,Montenegro,Scheduled
Motor Sich Airlines,motor-sich-airlines,M9,Ukraine,Scheduled
Myanmar Airways International,myanmar-airways-international,8M,Myanmar,Scheduled
Myanmar National Airlines,myanmar-national-airlines,UB,Myanmar,Scheduled
Myway Airlines,myway-airlines,MJ,Georgia,Scheduled
NAM Air,nam-air,IN,Indonesia,Scheduled
NORRA,norra,N7,Finland,Scheduled
NOVA Airlines,nova-airlines,O9,Sudan,Scheduled
Nakina Air Service,nakina-air-service,T2,Canada,Scheduled
Naryan-Mar Airlines,naryan-mar-airlines,НЯ,Russia,Scheduled
National Airlines,national-airlines,N8,United States,Scheduled
Nauru Airlines,nauru-airlines,ON,Nauru,Scheduled
Navios Evolusi Solusindo,navios-evolusi-solusindo,1J,Indonesia,Scheduled
Navitaire,navitaire,1N,United States,Scheduled
Neos,neos,NO,Italy,Scheduled
Nepal Airlines,nepal-airlines,RA,Nepal,Scheduled
Nesma Airlines,nesma-airlines,NE,Egypt,Scheduled
New Pacific Airlines,new-pacific-airlines,7H,United States,Low-cost
Nexus Airlines,nexus-airlines,GD,Australia,Scheduled
Niger Airlines,niger-airlines,6N,Niger,Scheduled
Niki,niki,HG,Austria,Low-cost
Nile Air,nile-air,NP,Egypt,Scheduled
"Ningxia Cargo Airlines CO.,LTD",ningxia-cargo-airlines-coltd,HT,China,Scheduled
Nippon Cargo Airlines,nippon-cargo-airlines,KZ,Japan,Scheduled
Nok Air,nok-air,DD,Thailand,Low-cost
NokScoot,nokscoot,XW,Thailand,Low-cost
Nolinor Aviation,nolinor-aviation,N5,Canada,Scheduled
Nomad Aviation,nomad-aviation,NA,Namibia,Scheduled
Nomad Aviation (PTY) Ltd.,nomad-aviation-pty-ltd,N6,South Africa,Scheduled
NordStar,nordstar,Y7,Russia,Scheduled
Nordwind Airlines,nordwind-airlines,N4,Russia,Scheduled
Norse Atlantic Airways,norse-atlantic-airways,N0,Norway,Low-cost
Norse Atlantic UK,norse-atlantic-uk,Z0,United Kingdom,Low-cost
North Flying,north-flying,M3,Denmark,Scheduled
North-Wright Airways,north-wright-airways,HW,Canada,Scheduled
Northern Air Cargo,northern-air-cargo,NC,United States,Scheduled
Northwest,northwest,0E,United States,Scheduled
Northwest Airlines,northwest-airlines,NW,United States,Scheduled
Northwestern Air,northwestern-air,J3,Canada,Scheduled
Norwegian Air Shuttle,norwegian-air-shuttle,DY,Norway,Low-cost
Norwegian Air Sweden,norwegian-air-sweden,D8,Sweden,Scheduled
Norwegian Long Haul,norwegian-long-haul,DU,Norway,Scheduled
Nouvelair,nouvelair,BJ,Tunisia,Scheduled
NovAir,novair,NG,Sweden,Scheduled
Novoair,novoair,VQ,Bangladesh,Scheduled
NyxAir,nyxair,OJ,Estonia,Scheduled
Okay Airways,okay-airways,BK,China,Scheduled
Olympic Air,olympic-air,OA,Greece,Scheduled
Oman Air,oman-air,WY,Oman,Scheduled
Omni Air International,omni-air-international,OY,United States,Scheduled
OneClick,oneclick,4L,Georgia,Scheduled
OneJet,onejet,J1,United States,Scheduled
Onur Air,onur-air,8Q,Turkey,Low-cost
Orient Thai Airlines,orient-thai-airlines,OX,Thailand,Low-cost
Oriental Air Bridge,oriental-air-bridge,OC,Japan,Scheduled
PAL Airlines,pal-airlines,PB,Canada,Scheduled
PAL Express,pal-express,2P,Philippines,Low-cost
PAWA Dominicana,pawa-dominicana,7N,Dominican Republic,Scheduled
PIA,pia,PK,Pakistan,Scheduled
PLAY,play,OG,Thailand,Low-cost
PM Air LLC,pm-air-llc,Z3,United States,Scheduled
PNG Air,png-air,CG,Papua New Guinea,Scheduled
PT. My Indo Airlines,pt-my-indo-airlines,2Y,Indonesia,Scheduled
Pacific Airlines,pacific-airlines,BL,Vietnam,Scheduled
Pacific Coastal Airlines,pacific-coastal-airlines,8P,Canada,Scheduled
Panama Airways,panama-airways,8A,Panama,Scheduled
Panorama Airways,panorama-airways,5P,Spain,Scheduled
Papillon Airways,papillon-airways,HI,United States,Scheduled
Paranair,paranair,ZP,Azerbaijan,Scheduled
Pascan Aviation,pascan-aviation,P6,Canada,Scheduled
PassionAir,passionair,OP,United States,Scheduled
Pattaya Airways,pattaya-airways,VV,Thailand,Scheduled
Peach,peach,MM,Japan,Low-cost
Pegasus Airlines,pegasus-airlines,PC,Turkey,Low-cost
Pelita Air,pelita-air,IP,Indonesia,Scheduled
People's,peoples,PE,Italy,Scheduled
Petroleum Air Services,petroleum-air-services,UF,Egypt,Scheduled
Philippine Airlines,philippine-airlines,PR,Philippines,Scheduled
Philippines AirAsia,philippines-airasia,Z2,Philippines,Low-cost
Phoenix Air,phoenix-air,PH,United States,Scheduled
Piedmont Airlines,piedmont-airlines,PT,Sweden,Scheduled
Pobeda,pobeda,DP,Russia,Low-cost
"Polar Air Cargo Worldwide, Inc.",polar-air-cargo-worldwide-inc,PO,United States,Scheduled
Polar Airlines,polar-airlines,PI,Russia,Scheduled
PopulAir,populair,HP,Sweden,Low-cost
Porter Airlines,porter-airlines,P3,Canada,Scheduled
Porter Airlines Canada,porter-airlines-canada,PD,Canada,Low-cost
Portugalia Airlines,portugalia-airlines,NI,Portugal,Scheduled
Precision Air,precision-air,PW,Tanzania,Scheduled
Premier Trans Aire Inc.,premier-trans-aire-inc,3X,United States,Scheduled
Premium Jet AG,premium-jet-ag,0J,Switzerland,Scheduled
Primera Air,primera-air,PF,Iceland,Scheduled
Proflight Zambia,proflight-zambia,P0,Zambia,Scheduled
Punta Europa,punta-europa,PU,Uruguay,Scheduled
Qanot Sharq,qanot-sharq,HH,Uzbekistan,Low-cost
Qantas,qantas,QF,Australia,Scheduled
Qatar Airways,qatar-airways,QR,Qatar,Scheduled
Qazaq Air,qazaq-air,IQ,Kazakhstan,Low-cost
Qeshm Air,qeshm-air,QB,Iran,Scheduled
Qingdao Airlines,qingdao-airlines,QW,China,Scheduled
Quikjet Cargo Airlines Pvt. Ltd,quikjet-cargo-airlines-pvt-ltd,QO,India,Scheduled
"Radixx Solutions International, Inc.",radixx-solutions-international-inc,1D,United States,Scheduled
Rano Air,rano-air,R4,Nigeria,Scheduled
Raya Airways Sdn. Bhd.dba Raya Airways,raya-airways-sdn-bhddba-raya-airways,TH,Malaysia,Scheduled
Red Sea Airlines,red-sea-airlines,4S,Egypt,Low-cost
Red Wings,red-wings,WZ,Russia,Scheduled
Regional Air,regional-air,8N,Mauritania,Scheduled
Regional Jet OÜ,regional-jet-ou,EE,Estonia,Scheduled
Regional Sky,regional-sky,4P,Democratic Republic of the Congo,Scheduled
Renegade Air,renegade-air,0R,,Scheduled
Republic Airways,republic-airways,YX,United States,Scheduled
Rex - Regional Express,rex-regional-express,ZL,Australia,Scheduled
Rise Air,rise-air,4T,Canada,Scheduled
Riyadh Air,riyadh-air,RX,United States,Scheduled
Rossiya Airlines,rossiya-airlines,FV,Russia,Scheduled
Rotana Jet,rotana-jet,RG,United Arab Emirates,Scheduled
Royal Air Maroc,royal-air-maroc,AT,Morocco,Scheduled
Royal Air Philippines,royal-air-philippines,RW,Philippines,Low-cost
Royal Brunei Airlines,royal-brunei-airlines,BI,Brunei,Scheduled
Royal Flight,royal-flight,RL,Russia,Scheduled
Royal Jordanian,royal-jordanian,RJ,Jordan,Scheduled
Ruili Airlines,ruili-airlines,DR,China,Low-cost
RusLine,rusline,7R,Russia,Scheduled
Rutaca Airlines,rutaca-airlines,5R,Venezuela,Scheduled
RwandAir,rwandair,WB,Rwanda,Scheduled
Ryanair,ryanair,FR,Ireland,Low-cost
Ryanair UK,ryanair-uk,RK,United Kingdom,Low-cost
S7 Airlines,s7-airlines,S7,Russia,Scheduled
SANSA,sansa,RZ,Costa Rica,Scheduled
SAS Scandinavian,sas-scandinavian,SK,Sweden,Scheduled
SATA,sata,S4,Portugal,Scheduled
SATA Air Acores,sata-air-acores,SP,Portugal,Scheduled
SATCO,satco,S3,Peru,Scheduled
SCAT,scat,DV,Kazakhstan,Low-cost
SEAir International,seair-international,XO,Spain,Low-cost
SF Airlines Company Ltd,sf-airlines-company-ltd,O3,People's Republic of China,Scheduled
SITA - Airlines WorldwideTelecommunications and Information Svcs,sita-airlines-worldwidetelecommunications-and-information-sv,XS,Switzerland,Scheduled
SKOL,skol,СД,Russia,Scheduled
SKS Airways,sks-airways,KI,Indonesia,Scheduled
SNCF,sncf,2C,France,Scheduled
STARLUX Airlines,starlux-airlines,JX,Singapore,Scheduled
STP Airways,stp-airways,8F,Sao Tome and Principe,Scheduled
SUN-AIR,sun-air,ZU,Denmark,Scheduled
SWISS,swiss,LX,Switzerland,Scheduled
Sabre Inc.,sabre-inc,1S,United States,Scheduled
Safarilink Aviation,safarilink-aviation,F2,Kenya,Scheduled
Safi Airways,safi-airways,4Q,Afghanistan,Scheduled
SalamAir,salamair,OV,Estonia,Low-cost
Samoa Airways,samoa-airways,OL,Samoa,Scheduled
Sapsan,sapsan,R0,Pakistan,Scheduled
Saudia,saudia,SV,Saudi Arabia,Scheduled
Scoot,scoot,TZ,Singapore,Low-cost
SeaPort Airlines,seaport-airlines,X4,United States,Scheduled
Seaborne Airlines,seaborne-airlines,BB,United States,Scheduled
Sepehran Airlines,sepehran-airlines,IS,Iran,Low-cost
Serene Air,serene-air,ER,Pakistan,Scheduled
Serve Air,serve-air,V6,Ukraine,Scheduled
Severstal Air Company,severstal-air-company,D2,Russia,Scheduled
Shaheen Air,shaheen-air,NL,Pakistan,Scheduled
Shandong Airlines,shandong-airlines,SC,China,Scheduled
Shanghai Airlines,shanghai-airlines,FM,China,Scheduled
Sharp Airlines,sharp-airlines,SH,Australia,Scheduled
Shenzhen Airlines,shenzhen-airlines,ZH,China,Scheduled
Shirak Avia,shirak-avia,5G,Canada,Scheduled
Shree Airlines,shree-airlines,N9,Nigeria,Scheduled
Shun Tak-China Travel Ship,shun-tak-china-travel-ship,8S,China,Scheduled
SiLA,sila,СЛ,Russia,Scheduled
Sichuan Airlines,sichuan-airlines,3U,China,Scheduled
Silk Avia,silk-avia,US,Uzbekistan,Scheduled
Silk Way West Airlines,silk-way-west-airlines,7L,Cuba,Scheduled
SilkAir,silkair,MI,Singapore,Scheduled
Silver Air,silver-air,0P,Djibouti,Scheduled
Silver Airways,silver-airways,3M,United States,Scheduled
Singapore Airlines,singapore-airlines,SQ,Singapore,Scheduled
Skippers Aviation,skippers-aviation,HK,Germany,Scheduled
Sky Airline,sky-airline,H2,Chile,Low-cost
Sky Airline Peru,sky-airline-peru,H8,Peru,Low-cost
Sky Airlines,sky-airlines,ZY,Turkey,Scheduled
Sky Angkor Airlines,sky-angkor-airlines,ZA,Cambodia,Scheduled
Sky Express Greece,sky-express-greece,GQ,Greece,Scheduled
Sky Fru,sky-fru,R8,Kyrgyzstan,Scheduled
Sky Gates Airlines,sky-gates-airlines,U3,Russia,Scheduled
Sky High,sky-high,DO,Italy,Scheduled
"Sky Lease I, Inc.",sky-lease-i-inc,GG,United States,Scheduled
Sky Mali,sky-mali,ML,Mali,Scheduled
Sky Vision Airlines,sky-vision-airlines,SE,France,Scheduled
Sky Wings Airlines,sky-wings-airlines,ND,Greece,Scheduled
SkyAlps,skyalps,BQ,Italy,Scheduled
SkyBahamas,skybahamas,Q7,Bahamas,Scheduled
SkyJet Airlines,skyjet-airlines,M8,Uganda,Scheduled
SkyTaxi,skytaxi,TE,Romania,Scheduled
SkyUp Airlines,skyup-airlines,PQ,Puerto Rico,Low-cost
SkyUp MT,skyup-mt,U5,United States,Low-cost
SkyWest Airlines,skywest-airlines,OO,Australia,Scheduled
SkyWork Airlines,skywork-airlines,SX,Switzerland,Scheduled
Skyline Express Airline,skyline-express-airline,QU,China,Scheduled
Skymark Airlines,skymark-airlines,BC,Japan,Low-cost
Skytrans Australia,skytrans-australia,QN,Australia,Scheduled
Skyward Airlines,skyward-airlines,OW,Canada,Scheduled
Small Planet Airlines Poland,small-planet-airlines-poland,P7,Poland,Scheduled
SmartAvia,smartavia,5N,Russia,Scheduled
SmartLynx Airlines Estonia,smartlynx-airlines-estonia,6Y,Latvia,Scheduled
SmartLynx Malta,smartlynx-malta,2N,Malta,Scheduled
SmartWings Czechia,smartwings-czechia,QS,Czechia,Low-cost
SmartWings Hungary,smartwings-hungary,7O,Hungary,Low-cost
SmartWings Poland,smartwings-poland,3Z,Poland,Low-cost
"Smokey Bay Air, Inc.",smokey-bay-air-inc,2E,Sri Lanka,Scheduled
Solaseed Air,solaseed-air,6J,Japan,Low-cost
Solomon Airlines,solomon-airlines,IE,Solomon Islands,Scheduled
Somon Air,somon-air,SZ,Tajikistan,Scheduled
Sounds Air,sounds-air,S8,South Africa,Scheduled
South African Airways,south-african-airways,SA,South Africa,Scheduled
Southern Air,southern-air,9R,United States,Scheduled
Southern Air Charter,southern-air-charter,PL,Bahamas,Scheduled
Southern Airways Express,southern-airways-express,9X,United States,Scheduled
Southern Sky Airlines,southern-sky-airlines,IH,Italy,Scheduled
Southwest Airlines,southwest-airlines,WN,United States,Low-cost
Southwind airlines,southwind-airlines,2S,Liberia,Low-cost
Special Ground Handling Service -XH,special-ground-handling-service-xh,XH,United Kingdom,Scheduled
SpiceJet,spicejet,SG,India,Low-cost
Spirit Airlines,spirit-airlines,NK,United States,Low-cost
Spring Airlines,spring-airlines,9C,China,Low-cost
Spring Japan,spring-japan,IJ,Japan,Low-cost
Springjet,springjet,5K,Portugal,Low-cost
SriLankan Airlines,srilankan-airlines,UL,Sri Lanka,Scheduled
Sriwijaya Air,sriwijaya-air,SJ,Indonesia,Scheduled
St Barth Commuter,st-barth-commuter,PV,France,Scheduled
Stabo Air Limited,stabo-air-limited,4E,,Scheduled
Star Air,star-air,S5,India,Scheduled
Star Peru,star-peru,2I,Peru,Scheduled
StarFlyer,starflyer,7G,Japan,Scheduled
Starbow,starbow,S9,Ghana,Scheduled
Sudan Airways,sudan-airways,SD,Sudan,Scheduled
Sun Air Express,sun-air-express,6G,United States,Scheduled
Sun Country Airlines,sun-country-airlines,SY,United States,Low-cost
Sun PhuQuoc Airways,sun-phuquoc-airways,9G,Vietnam,Scheduled
SunExpress,sunexpress,XQ,Turkey,Low-cost
SunExpress Deutschland,sunexpress-deutschland,XG,Germany,Low-cost
Sunclass Airlines,sunclass-airlines,DK,Denmark,Scheduled
SundAir,sundair,SR,Germany,Scheduled
Sunday Airlines,sunday-airlines,0S,Kazakhstan,Scheduled
