carrier_key,name,iata,country,type,locale,band,region,official_website,help_root,baggage_checked_url,baggage_carryon_url,baggage_fees_url,fare_conditions_url,checkin_url,conditions_of_carriage_url,article_selector,notes,has_fact_file,has_review_file,matched_source_airline_id,enrichment_sources
air-astana,Air Astana,KC,Kazakhstan,Scheduled,,,,https://airastana.com,https://help.airastana.com/hc/en-gb,https://airastana.com/global-en/information/checked-baggage,https://airastana.com/ind-en/information/carry-on-baggage,https://airastana.com/global-en/information/checked-baggage,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-astana-1127,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-austral,Air Austral,UU,France,Scheduled,,,,https://www.air-austral.com,https://www.air-austral.com/en/help.html,https://www.air-austral.com/en/prepare-your-flight/your-baggage/checked-baggage.html,https://www.air-austral.com/en/prepare-your-flight/your-baggage/carry-on-baggage.html,https://www.air-austral.com/en/prepare-your-flight/your-baggage/checked-baggage.html,,,https://www.air-austral.com/en/general-conditions-of-carriage.html,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-austral-1128,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-botswana,Air Botswana,BP,Botswana,Scheduled,,,,https://www.airbotswana.co.bw,https://www.airbotswana.co.bw/contact-us,https://www.airbotswana.co.bw/please-inspect-your-baggage-immediately-after-claiming-it-your-destination,https://www.airbotswana.co.bw/please-inspect-your-baggage-immediately-after-claiming-it-your-destination,https://www.airbotswana.co.bw/please-inspect-your-baggage-immediately-after-claiming-it-your-destination,,,https://www.airbotswana.co.bw/general-conditions-carriage,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-botswana-1129,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-burkina,Air Burkina,2J,Burkina Faso,Scheduled,,,,https://air-burkina.com,,https://air-burkina.com/en/plan-a-trip/luggage/checked-baggage,https://air-burkina.com/preparer-son-voyage/bagages/franchise-bagages,https://air-burkina.com/en/plan-a-trip/luggage/checked-baggage,,,"https://air-burkina.com/en/general-conditions-of-carriage#:~:text=The%20passenger%20is%20required%20to,departure%20formalities%20to%20be%20completed.",,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-burkina-1131,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/derived/baggage-summary.csv
air-busan,Air Busan,BX,South Korea,Low-cost,,,,,,,,,,,,,,yes,no,,
air-cambodia,Air Cambodia,K6,Cambodia,Scheduled,,,,https://www.cambodiaangkorair.com,,,,,,,https://www.cambodiaangkorair.com/post-category/34/terms-and-conditions,,conditions_of_carriage_url prefilled from Duffel refs; please verify.,yes,no,air-cambodia-1010,
air-cargo-carriers-llc,"Air Cargo Carriers, LLC.",2Q,United States,Scheduled,,,,https://aircar.com,,,,,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-cargo-carriers-686,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-changan,Air Changan,9H,China,Scheduled,,,,https://airchangan.com,,https://www.airchangan.com/acEntry/baggage,https://www.airchangan.com/acEntry/baggage,https://www.airchangan.com/acEntry/baggage,,,,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-changan-60,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-corsica,Air Corsica,XK,France,Scheduled,,,,https://www.aircorsica.com,,https://www.aircorsica.com/flights/cabin-hold-baggage.html,https://www.aircorsica.com/flights/cabin-hold-baggage.html,https://www.aircorsica.com/flights/cabin-hold-baggage.html,,,https://www.aircorsica.com/flights/conditions-carriage-passengers.html,,"conditions_of_carriage_url prefilled from Duffel refs; please verify.; Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-corsica-1137,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
air-cote-divoire,Air Cote D'Ivoire,HF,Côte d'Ivoire (Ivory Coast),Scheduled,,,,https://aircotedivoire.com,,https://www.aircotedivoire.com/informations/bagages,https://www.aircotedivoire.com/informations/bagages,https://www.aircotedivoire.com/informations/bagages,,,https://www.aircotedivoire.com/en/flight-booking/terms-and-conditions-of-carriage,,"Missing fields filled from buffertse/airline-data, which records official airline domains and deep links sourced from airline websites.",yes,no,air-c-te-d-ivoire-1046,https://raw.githubusercontent.com/buffertse/airline-data/main/data/airlines.csv; https://raw.githubusercontent.com/buffertse/airline-data/main/data/airline-links.csv
