iata,name,officialWebsiteUrl,wikipediaUrl,wikidataUrl,sourceNotes
CPH,Copenhagen Airport,http://www.cph.dk/,https://en.wikipedia.org/wiki/Copenhagen_Airport,http://www.wikidata.org/entity/Q206277,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
ARN,Stockholm Arlanda Airport,https://www.swedavia.com/arlanda/,https://en.wikipedia.org/wiki/Stockholm_Arlanda_Airport,http://www.wikidata.org/entity/Q223499,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
OSL,Oslo Airport,http://www.osl.no,"https://en.wikipedia.org/wiki/Oslo_Airport,_Gardermoen",http://www.wikidata.org/entity/Q210559,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
HEL,Helsinki Airport,https://www.finavia.fi/fi/lentoasemat/helsinki-vantaa,https://en.wikipedia.org/wiki/Helsinki_Airport,http://www.wikidata.org/entity/Q215327,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
BRU,Brussels Airport,http://www.brusselsairport.be/,https://en.wikipedia.org/wiki/Brussels_Airport,http://www.wikidata.org/entity/Q28934,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
LIS,Humberto Delgado Airport,https://www.lisbon-airport.com,https://en.wikipedia.org/wiki/Lisbon_Airport,http://www.wikidata.org/entity/Q403671,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
ATH,"Athens International Airport ""Eleftherios Venizelos""",https://www.aia.gr/,https://en.wikipedia.org/wiki/Athens_International_Airport,http://www.wikidata.org/entity/Q211734,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
WAW,Warsaw Chopin Airport,https://www.lotnisko-chopina.pl/pl/index.html,https://en.wikipedia.org/wiki/Warsaw_Chopin_Airport,http://www.wikidata.org/entity/Q465071,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
PRG,Václav Havel Airport Prague,https://www.prg.aero/,https://en.wikipedia.org/wiki/V%C3%A1clav_Havel_Airport_Prague,http://www.wikidata.org/entity/Q99172,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
MAN,Manchester Airport,https://www.manchesterairport.co.uk/,https://en.wikipedia.org/wiki/Manchester_Airport,http://www.wikidata.org/entity/Q8694,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
DUS,Düsseldorf Airport,https://www.dus.com,https://en.wikipedia.org/wiki/D%C3%BCsseldorf_Airport,http://www.wikidata.org/entity/Q58226,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
BER,Berlin Brandenburg Airport,https://ber.berlin-airport.de/,https://en.wikipedia.org/wiki/Berlin_Brandenburg_Airport,http://www.wikidata.org/entity/Q160556,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
MXP,"Milan–Malpensa ""Silvio Berlusconi"" Airport",https://www.milanomalpensa-airport.com/,https://en.wikipedia.org/wiki/Milan_Malpensa_Airport,http://www.wikidata.org/entity/Q60910,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
GVA,Geneva International Airport,https://www.gva.ch/en/,https://en.wikipedia.org/wiki/Geneva_Airport,http://www.wikidata.org/entity/Q289972,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
DXB,Dubai International Airport,https://www.dubaiairports.ae/en,https://en.wikipedia.org/wiki/Dubai_International_Airport,http://www.wikidata.org/entity/Q193439,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
DOH,Hamad International Airport,https://dohahamadairport.com/ar,https://en.wikipedia.org/wiki/Hamad_International_Airport,http://www.wikidata.org/entity/Q1198791,Wikidata P238 IATA lookup; official website from Wikidata P856 when present.
